Home,Away,HG,AG,HAP,AAP,HLP,ALP,HAG,AAG,HAAG,AAAG
Man United,Crystal Palace,0,0,1.667,0.667,10,1,1.667,0.667,1.75,1.417
Tottenham,Chelsea,3,1,2.25,2.333,12,11,1.667,2.25,0.833,0.667
Watford,Liverpool,0,3,1.667,2.5,7,11,1.417,1.917,1.167,0.417
West Ham,Man City,0,4,1.0,2.667,5,13,1.167,3.0,1.5,0.417
Bournemouth,Arsenal,1,2,1.667,2.0,7,9,1.75,2.167,1.333,1.25
Wolves,Huddersfield,0,2,1.333,0.583,4,5,1.0,0.5,1.083,1.833
Burnley,Newcastle,1,2,0.75,0.75,2,7,1.0,0.75,2.083,1.25
Cardiff,Wolves,2,1,0.615,1.231,6,1,0.846,0.923,2.0,1.154
Crystal Palace,Burnley,2,0,0.692,0.692,2,1,0.615,1.0,1.308,2.077
Huddersfield,Brighton,1,2,0.769,1.154,7,7,0.615,1.077,1.692,1.462
Leicester,Watford,2,0,1.385,1.538,6,7,1.385,1.308,1.308,1.308
Man City,Bournemouth,3,1,2.692,1.538,15,4,3.077,1.692,0.385,1.385
Newcastle,West Ham,0,3,0.923,0.923,10,5,0.846,1.077,1.231,1.692
Southampton,Man United,2,2,0.615,1.615,3,8,0.769,1.538,1.846,1.615
Arsenal,Tottenham,4,2,2.077,2.308,9,12,2.154,1.769,1.231,0.846
Chelsea,Fulham,2,0,2.154,0.615,8,3,2.154,1.077,0.846,2.538
Liverpool,Everton,1,0,2.538,1.692,13,10,2.0,1.538,0.385,1.154
Bournemouth,Huddersfield,2,1,1.429,0.714,3,7,1.643,0.643,1.5,1.714
Brighton,Crystal Palace,3,1,1.286,0.857,7,5,1.143,0.714,1.429,1.214
Watford,Man City,1,2,1.429,2.714,4,15,1.214,3.071,1.357,0.429
West Ham,Cardiff,3,1,1.071,0.786,8,6,1.214,0.929,1.571,1.929
Burnley,Liverpool,1,3,0.643,2.571,1,13,0.929,1.929,2.071,0.357
Everton,Newcastle,1,1,1.571,0.857,7,10,1.429,0.786,1.143,1.357
Fulham,Leicester,1,1,0.571,1.5,3,9,1.0,1.429,2.5,1.214
Man United,Arsenal,2,2,1.571,2.143,8,9,1.571,2.286,1.643,1.286
Tottenham,Southampton,3,1,2.143,0.643,9,3,1.786,0.857,1.071,1.857
Wolves,Chelsea,2,1,1.143,2.214,1,10,0.929,2.143,1.214,0.786
Arsenal,Huddersfield,1,0,2.067,0.667,9,7,2.267,0.667,1.333,1.733
Bournemouth,Liverpool,0,4,1.533,2.6,3,13,1.667,2.0,1.467,0.4
Burnley,Brighton,1,0,0.6,1.4,1,7,0.933,1.267,2.133,1.4
Cardiff,Southampton,1,0,0.733,0.6,6,2,0.933,0.867,2.0,1.933
Chelsea,Man City,2,0,2.067,2.733,7,15,2.067,3.0,0.867,0.467
Leicester,Tottenham,0,2,1.467,2.2,9,12,1.4,1.867,1.2,1.067
Man United,Fulham,4,1,1.533,0.6,6,4,1.6,1.0,1.667,2.4
West Ham,Crystal Palace,3,2,1.2,0.8,10,4,1.333,0.733,1.533,1.333
Newcastle,Wolves,1,2,0.867,1.267,10,4,0.8,1.0,1.333,1.2
Everton,Watford,2,2,1.533,1.333,8,1,1.4,1.2,1.133,1.4
Crystal Palace,Leicester,1,0,0.75,1.375,4,6,0.812,1.312,1.438,1.25
Fulham,West Ham,0,2,0.562,1.312,4,10,1.0,1.438,2.5,1.562
Huddersfield,Newcastle,0,1,0.625,0.812,4,7,0.625,0.812,1.688,1.375
Man City,Everton,3,1,2.562,1.5,12,6,2.812,1.438,0.562,1.188
Tottenham,Burnley,1,0,2.25,0.75,12,4,1.875,0.938,1.0,2.0
Watford,Cardiff,3,2,1.312,0.875,2,9,1.25,0.938,1.438,1.875
Wolves,Bournemouth,2,0,1.375,1.438,7,3,1.062,1.562,1.188,1.625
Brighton,Chelsea,1,2,1.312,2.125,7,7,1.188,2.062,1.375,0.812
Liverpool,Man United,3,1,2.625,1.625,15,6,2.125,1.75,0.375,1.625
Southampton,Arsenal,3,2,0.562,2.125,2,11,0.812,2.188,1.875,1.25
Wolves,Liverpool,0,2,1.471,2.647,9,15,1.118,2.176,1.118,0.412
Arsenal,Burnley,3,1,2.0,0.706,10,3,2.176,0.882,1.353,1.941
Bournemouth,Brighton,2,0,1.353,1.235,3,7,1.471,1.176,1.647,1.412
Cardiff,Man United,1,5,0.824,1.529,6,6,1.0,1.706,1.941,1.706
Chelsea,Leicester,0,1,2.176,1.294,9,5,2.059,1.235,0.824,1.235
Huddersfield,Southampton,1,3,0.588,0.706,3,4,0.588,0.941,1.647,1.882
Man City,Crystal Palace,2,3,2.588,0.882,12,7,2.824,0.824,0.588,1.353
Newcastle,Fulham,0,0,0.941,0.529,7,4,0.824,0.941,1.294,2.471
West Ham,Watford,0,2,1.412,1.412,12,4,1.471,1.353,1.471,1.471
Everton,Tottenham,2,6,1.412,2.294,5,12,1.412,1.824,1.294,0.941
Brighton,Arsenal,1,1,1.167,2.056,6,10,1.111,2.222,1.444,1.333
Burnley,Everton,1,5,0.667,1.333,3,2,0.889,1.444,2.0,1.556
Crystal Palace,Cardiff,0,0,1.0,0.778,9,6,0.944,1.0,1.389,2.111
Fulham,Wolves,1,1,0.556,1.389,2,9,0.889,1.056,2.333,1.167
Leicester,Man City,2,1,1.389,2.444,7,9,1.222,2.778,1.167,0.722
Liverpool,Newcastle,4,0,2.667,0.944,15,5,2.167,0.778,0.389,1.222
Man United,Huddersfield,3,1,1.611,0.556,8,0,1.889,0.611,1.667,1.722
Tottenham,Bournemouth,5,0,2.333,1.444,12,6,2.056,1.5,1.0,1.556
Watford,Chelsea,1,2,1.5,2.056,7,9,1.389,1.944,1.389,0.833
Southampton,West Ham,1,2,0.833,1.333,7,12,1.056,1.389,1.833,1.5
Brighton,Everton,1,0,1.158,1.421,4,5,1.105,1.632,1.421,1.526
Fulham,Huddersfield,1,0,0.579,0.526,3,0,0.895,0.632,2.263,1.789
Leicester,Cardiff,0,1,1.474,0.789,7,4,1.263,0.947,1.158,2.0
Liverpool,Arsenal,5,1,2.684,2.0,15,8,2.263,2.158,0.368,1.316
Tottenham,Wolves,1,3,2.368,1.368,15,10,2.211,1.053,0.947,1.158
Watford,Newcastle,1,1,1.421,0.895,7,5,1.368,0.737,1.421,1.368
Burnley,West Ham,2,0,0.632,1.421,3,12,0.895,1.421,2.158,1.474
Crystal Palace,Chelsea,0,1,1.0,2.105,7,9,0.895,1.947,1.316,0.842
Man United,Bournemouth,4,1,1.684,1.368,10,6,1.947,1.421,1.632,1.737
Southampton,Man City,1,3,0.789,2.316,6,6,1.053,2.684,1.842,0.789
Arsenal,Fulham,4,1,1.9,0.7,7,5,2.1,0.9,1.5,2.15
